role,permissions
roles/proximitybeacon.attachmentEditor,proximitybeacon.attachments.create;proximitybeacon.attachments.delete;proximitybeacon.attachments.get;proximitybeacon.attachments.list;proximitybeacon.beacons.get;proximitybeacon.beacons.list;proximitybeacon.namespaces.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/proximitybeacon.attachmentPublisher,proximitybeacon.beacons.attach;proximitybeacon.beacons.get;proximitybeacon.beacons.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/proximitybeacon.attachmentViewer,proximitybeacon.attachments.get;proximitybeacon.attachments.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/proximitybeacon.beaconEditor,proximitybeacon.beacons.create;proximitybeacon.beacons.get;proximitybeacon.beacons.list;proximitybeacon.beacons.update;resourcemanager.projects.get;resourcemanager.projects.list
roles/pubsub.admin,pubsub.snapshots.create;pubsub.snapshots.delete;pubsub.snapshots.get;pubsub.snapshots.getIamPolicy;pubsub.snapshots.list;pubsub.snapshots.seek;pubsub.snapshots.setIamPolicy;pubsub.snapshots.update;pubsub.subscriptions.consume;pubsub.subscriptions.create;pubsub.subscriptions.delete;pubsub.subscriptions.get;pubsub.subscriptions.getIamPolicy;pubsub.subscriptions.list;pubsub.subscriptions.setIamPolicy;pubsub.subscriptions.update;pubsub.topics.attachSubscription;pubsub.topics.create;pubsub.topics.delete;pubsub.topics.get;pubsub.topics.getIamPolicy;pubsub.topics.list;pubsub.topics.publish;pubsub.topics.setIamPolicy;pubsub.topics.update;pubsub.topics.updateTag;resourcemanager.projects.get;serviceusage.quotas.get;serviceusage.services.get;serviceusage.services.list
roles/pubsub.editor,pubsub.snapshots.create;pubsub.snapshots.delete;pubsub.snapshots.get;pubsub.snapshots.list;pubsub.snapshots.seek;pubsub.snapshots.update;pubsub.subscriptions.consume;pubsub.subscriptions.create;pubsub.subscriptions.delete;pubsub.subscriptions.get;pubsub.subscriptions.list;pubsub.subscriptions.update;pubsub.topics.attachSubscription;pubsub.topics.create;pubsub.topics.delete;pubsub.topics.get;pubsub.topics.list;pubsub.topics.publish;pubsub.topics.update;pubsub.topics.updateTag;resourcemanager.projects.get;serviceusage.quotas.get;serviceusage.services.get;serviceusage.services.list
roles/pubsub.publisher,pubsub.topics.publish
roles/pubsub.subscriber,pubsub.snapshots.seek;pubsub.subscriptions.consume;pubsub.topics.attachSubscription
roles/pubsub.viewer,pubsub.snapshots.get;pubsub.snapshots.list;pubsub.subscriptions.get;pubsub.subscriptions.list;pubsub.topics.get;pubsub.topics.list;resourcemanager.projects.get;serviceusage.quotas.get;serviceusage.services.get;serviceusage.services.list
roles/recaptchaenterprise.admin,recaptchaenterprise.keys.create;recaptchaenterprise.keys.delete;recaptchaenterprise.keys.get;recaptchaenterprise.keys.list;recaptchaenterprise.keys.update;resourcemanager.projects.get;resourcemanager.projects.list
roles/recaptchaenterprise.agent,recaptchaenterprise.assessments.annotate;recaptchaenterprise.assessments.create;resourcemanager.projects.get;resourcemanager.projects.list
roles/recaptchaenterprise.viewer,recaptchaenterprise.keys.get;recaptchaenterprise.keys.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/recommender.computeAdmin,recommender.computeInstanceGroupManagerMachineTypeRecommendations.get;recommender.computeInstanceGroupManagerMachineTypeRecommendations.list;recommender.computeInstanceGroupManagerMachineTypeRecommendations.update;recommender.computeInstanceMachineTypeRecommendations.get;recommender.computeInstanceMachineTypeRecommendations.list;recommender.computeInstanceMachineTypeRecommendations.update;recommender.locations.get;recommender.locations.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/recommender.computeViewer,recommender.computeInstanceGroupManagerMachineTypeRecommendations.get;recommender.computeInstanceGroupManagerMachineTypeRecommendations.list;recommender.computeInstanceMachineTypeRecommendations.get;recommender.computeInstanceMachineTypeRecommendations.list;recommender.locations.get;recommender.locations.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/recommender.iamAdmin,recommender.iamPolicyRecommendations.get;recommender.iamPolicyRecommendations.list;recommender.iamPolicyRecommendations.update;recommender.locations.get;recommender.locations.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/recommender.iamViewer,recommender.iamPolicyRecommendations.get;recommender.iamPolicyRecommendations.list;recommender.locations.get;recommender.locations.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/redis.admin,compute.networks.list;redis.instances.create;redis.instances.delete;redis.instances.export;redis.instances.get;redis.instances.import;redis.instances.list;redis.instances.update;redis.locations.get;redis.locations.list;redis.operations.cancel;redis.operations.delete;redis.operations.get;redis.operations.list;resourcemanager.projects.get;resourcemanager.projects.list;serviceusage.services.use
roles/redis.editor,compute.networks.list;redis.instances.get;redis.instances.list;redis.instances.update;redis.locations.get;redis.locations.list;redis.operations.cancel;redis.operations.delete;redis.operations.get;redis.operations.list;resourcemanager.projects.get;resourcemanager.projects.list;serviceusage.services.use
roles/redisenterprisecloud.admin,redisenterprisecloud.databases.create;redisenterprisecloud.databases.delete;redisenterprisecloud.databases.get;redisenterprisecloud.databases.list;redisenterprisecloud.databases.update;redisenterprisecloud.subscriptions.create;redisenterprisecloud.subscriptions.delete;redisenterprisecloud.subscriptions.get;redisenterprisecloud.subscriptions.list;redisenterprisecloud.subscriptions.update;resourcemanager.projects.get;resourcemanager.projects.list
roles/redisenterprisecloud.viewer,redisenterprisecloud.databases.get;redisenterprisecloud.databases.list;redisenterprisecloud.subscriptions.get;redisenterprisecloud.subscriptions.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/redis.serviceAgent,compute.globalOperations.get;compute.networks.addPeering;compute.networks.get;compute.networks.removePeering;compute.networks.update;compute.projects.get;compute.routes.get;compute.routes.list;compute.subnetworks.get;compute.subnetworks.list;monitoring.metricDescriptors.create;monitoring.metricDescriptors.get;monitoring.metricDescriptors.list;monitoring.monitoredResourceDescriptors.get;monitoring.monitoredResourceDescriptors.list;monitoring.timeSeries.create;resourcemanager.projects.get;resourcemanager.projects.list
roles/redis.viewer,redis.instances.get;redis.instances.list;redis.locations.get;redis.locations.list;redis.operations.get;redis.operations.list;resourcemanager.projects.get;resourcemanager.projects.list;serviceusage.services.use
roles/remotebuildexecution.actionCacheWriter,remotebuildexecution.actions.set;remotebuildexecution.blobs.create
roles/remotebuildexecution.artifactAdmin,remotebuildexecution.actions.create;remotebuildexecution.actions.delete;remotebuildexecution.actions.get;remotebuildexecution.blobs.create;remotebuildexecution.blobs.get;remotebuildexecution.logstreams.create;remotebuildexecution.logstreams.get;remotebuildexecution.logstreams.update
roles/remotebuildexecution.artifactCreator,remotebuildexecution.actions.create;remotebuildexecution.actions.get;remotebuildexecution.blobs.create;remotebuildexecution.blobs.get;remotebuildexecution.logstreams.create;remotebuildexecution.logstreams.get;remotebuildexecution.logstreams.update
roles/remotebuildexecution.artifactViewer,remotebuildexecution.actions.get;remotebuildexecution.blobs.get;remotebuildexecution.logstreams.get
roles/remotebuildexecution.configurationAdmin,remotebuildexecution.instances.create;remotebuildexecution.instances.delete;remotebuildexecution.instances.get;remotebuildexecution.instances.list;remotebuildexecution.workerpools.create;remotebuildexecution.workerpools.delete;remotebuildexecution.workerpools.get;remotebuildexecution.workerpools.list;remotebuildexecution.workerpools.update
roles/remotebuildexecution.configurationViewer,remotebuildexecution.instances.get;remotebuildexecution.instances.list;remotebuildexecution.workerpools.get;remotebuildexecution.workerpools.list
roles/remotebuildexecution.logstreamWriter,remotebuildexecution.logstreams.create;remotebuildexecution.logstreams.update
roles/remotebuildexecution.reservationAdmin,remotebuildexecution.actions.create;remotebuildexecution.actions.delete;remotebuildexecution.actions.get
roles/remotebuildexecution.worker,remotebuildexecution.actions.update;remotebuildexecution.blobs.create;remotebuildexecution.blobs.get;remotebuildexecution.botsessions.create;remotebuildexecution.botsessions.update;remotebuildexecution.logstreams.create;remotebuildexecution.logstreams.update
roles/resourcemanager.folderAdmin,orgpolicy.policy.get;resourcemanager.folders.create;resourcemanager.folders.delete;resourcemanager.folders.get;resourcemanager.folders.getIamPolicy;resourcemanager.folders.list;resourcemanager.folders.move;resourcemanager.folders.setIamPolicy;resourcemanager.folders.undelete;resourcemanager.folders.update;resourcemanager.projects.get;resourcemanager.projects.getIamPolicy;resourcemanager.projects.list;resourcemanager.projects.move;resourcemanager.projects.setIamPolicy
roles/resourcemanager.folderCreator,orgpolicy.policy.get;resourcemanager.folders.create;resourcemanager.folders.get;resourcemanager.folders.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/resourcemanager.folderEditor,orgpolicy.policy.get;resourcemanager.folders.delete;resourcemanager.folders.get;resourcemanager.folders.getIamPolicy;resourcemanager.folders.list;resourcemanager.folders.undelete;resourcemanager.folders.update;resourcemanager.projects.get;resourcemanager.projects.list
roles/resourcemanager.folderIamAdmin,resourcemanager.folders.get;resourcemanager.folders.getIamPolicy;resourcemanager.folders.setIamPolicy
roles/resourcemanager.folderMover,resourcemanager.folders.move;resourcemanager.projects.move
roles/resourcemanager.folderViewer,orgpolicy.policy.get;resourcemanager.folders.get;resourcemanager.folders.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/resourcemanager.lienModifier,resourcemanager.projects.updateLiens
roles/resourcemanager.organizationAdmin,orgpolicy.policy.get;resourcemanager.folders.get;resourcemanager.folders.getIamPolicy;resourcemanager.folders.list;resourcemanager.folders.setIamPolicy;resourcemanager.organizations.get;resourcemanager.organizations.getIamPolicy;resourcemanager.organizations.setIamPolicy;resourcemanager.projects.get;resourcemanager.projects.getIamPolicy;resourcemanager.projects.list;resourcemanager.projects.setIamPolicy
roles/resourcemanager.organizationViewer,resourcemanager.organizations.get
roles/resourcemanager.projectCreator,resourcemanager.organizations.get;resourcemanager.projects.create
roles/resourcemanager.projectDeleter,resourcemanager.projects.delete
roles/resourcemanager.projectIamAdmin,resourcemanager.projects.get;resourcemanager.projects.getIamPolicy;resourcemanager.projects.setIamPolicy
roles/resourcemanager.projectMover,resourcemanager.projects.get;resourcemanager.projects.move;resourcemanager.projects.update
roles/run.admin,resourcemanager.projects.get;resourcemanager.projects.list;run.configurations.get;run.configurations.list;run.locations.list;run.revisions.delete;run.revisions.get;run.revisions.list;run.routes.get;run.routes.invoke;run.routes.list;run.services.create;run.services.delete;run.services.get;run.services.getIamPolicy;run.services.list;run.services.setIamPolicy;run.services.update
roles/run.invoker,run.routes.invoke
roles/run.serviceAgent,clientauthconfig.clients.list;cloudbuild.builds.create;cloudbuild.builds.get;iam.serviceAccounts.actAs;iam.serviceAccounts.getAccessToken;iam.serviceAccounts.getOpenIdToken;iam.serviceAccounts.signBlob;pubsub.subscriptions.create;pubsub.subscriptions.delete;pubsub.subscriptions.get;pubsub.subscriptions.list;pubsub.topics.attachSubscription;pubsub.topics.create;pubsub.topics.delete;pubsub.topics.get;pubsub.topics.list;pubsub.topics.publish;resourcemanager.projects.get;resourcemanager.projects.getIamPolicy;resourcemanager.projects.list;run.routes.invoke;storage.objects.get;storage.objects.list
roles/runtimeconfig.admin,runtimeconfig.configs.create;runtimeconfig.configs.delete;runtimeconfig.configs.get;runtimeconfig.configs.getIamPolicy;runtimeconfig.configs.list;runtimeconfig.configs.setIamPolicy;runtimeconfig.configs.update;runtimeconfig.operations.get;runtimeconfig.operations.list;runtimeconfig.variables.create;runtimeconfig.variables.delete;runtimeconfig.variables.get;runtimeconfig.variables.getIamPolicy;runtimeconfig.variables.list;runtimeconfig.variables.setIamPolicy;runtimeconfig.variables.update;runtimeconfig.variables.watch;runtimeconfig.waiters.create;runtimeconfig.waiters.delete;runtimeconfig.waiters.get;runtimeconfig.waiters.getIamPolicy;runtimeconfig.waiters.list;runtimeconfig.waiters.setIamPolicy;runtimeconfig.waiters.update
roles/run.viewer,resourcemanager.projects.get;resourcemanager.projects.list;run.configurations.get;run.configurations.list;run.locations.list;run.revisions.get;run.revisions.list;run.routes.get;run.routes.list;run.services.get;run.services.getIamPolicy;run.services.list
roles/secretmanager.admin,resourcemanager.projects.get;resourcemanager.projects.list;secretmanager.locations.get;secretmanager.locations.list;secretmanager.secrets.create;secretmanager.secrets.delete;secretmanager.secrets.get;secretmanager.secrets.getIamPolicy;secretmanager.secrets.list;secretmanager.secrets.setIamPolicy;secretmanager.secrets.update;secretmanager.versions.access;secretmanager.versions.add;secretmanager.versions.destroy;secretmanager.versions.disable;secretmanager.versions.enable;secretmanager.versions.get;secretmanager.versions.list
roles/secretmanager.secretAccessor,secretmanager.versions.access
roles/secretmanager.viewer,resourcemanager.projects.get;resourcemanager.projects.list;secretmanager.locations.get;secretmanager.locations.list;secretmanager.secrets.get;secretmanager.secrets.getIamPolicy;secretmanager.secrets.list;secretmanager.versions.get;secretmanager.versions.list
roles/securitycenter.admin,appengine.applications.get;cloudsecurityscanner.crawledurls.list;cloudsecurityscanner.results.get;cloudsecurityscanner.results.list;cloudsecurityscanner.scanruns.get;cloudsecurityscanner.scanruns.getSummary;cloudsecurityscanner.scanruns.list;cloudsecurityscanner.scanruns.stop;cloudsecurityscanner.scans.create;cloudsecurityscanner.scans.delete;cloudsecurityscanner.scans.get;cloudsecurityscanner.scans.list;cloudsecurityscanner.scans.run;cloudsecurityscanner.scans.update;compute.addresses.list;resourcemanager.organizations.get;resourcemanager.projects.get;resourcemanager.projects.list;securitycenter.assets.group;securitycenter.assets.list;securitycenter.assets.listAssetPropertyNames;securitycenter.assets.runDiscovery;securitycenter.assetsecuritymarks.update;securitycenter.findings.group;securitycenter.findings.list;securitycenter.findings.listFindingPropertyNames;securitycenter.findings.setState;securitycenter.findings.update;securitycenter.findingsecuritymarks.update;securitycenter.notificationconfig.create;securitycenter.notificationconfig.delete;securitycenter.notificationconfig.get;securitycenter.notificationconfig.list;securitycenter.notificationconfig.update;securitycenter.organizationsettings.get;securitycenter.organizationsettings.update;securitycenter.sources.get;securitycenter.sources.getIamPolicy;securitycenter.sources.list;securitycenter.sources.setIamPolicy;securitycenter.sources.update;serviceusage.quotas.get;serviceusage.services.get;serviceusage.services.list
roles/securitycenter.adminEditor,resourcemanager.organizations.get;securitycenter.assets.group;securitycenter.assets.list;securitycenter.assets.listAssetPropertyNames;securitycenter.assets.runDiscovery;securitycenter.assetsecuritymarks.update;securitycenter.findings.group;securitycenter.findings.list;securitycenter.findings.listFindingPropertyNames;securitycenter.findings.setState;securitycenter.findings.update;securitycenter.findingsecuritymarks.update;securitycenter.notificationconfig.create;securitycenter.notificationconfig.delete;securitycenter.notificationconfig.get;securitycenter.notificationconfig.list;securitycenter.notificationconfig.update;securitycenter.sources.get;securitycenter.sources.list;securitycenter.sources.update
roles/securitycenter.adminViewer,resourcemanager.organizations.get;securitycenter.assets.group;securitycenter.assets.list;securitycenter.assets.listAssetPropertyNames;securitycenter.findings.group;securitycenter.findings.list;securitycenter.findings.listFindingPropertyNames;securitycenter.notificationconfig.get;securitycenter.notificationconfig.list;securitycenter.sources.get;securitycenter.sources.list
roles/securitycenter.assetsDiscoveryRunner,securitycenter.assets.runDiscovery
roles/securitycenter.assetSecurityMarksWriter,securitycenter.assetsecuritymarks.update
roles/securitycenter.assetsViewer,resourcemanager.organizations.get;securitycenter.assets.group;securitycenter.assets.list;securitycenter.assets.listAssetPropertyNames
roles/securitycenter.findingSecurityMarksWriter,securitycenter.findingsecuritymarks.update
roles/securitycenter.findingsEditor,resourcemanager.organizations.get;securitycenter.findings.group;securitycenter.findings.list;securitycenter.findings.listFindingPropertyNames;securitycenter.findings.setState;securitycenter.findings.update;securitycenter.sources.get;securitycenter.sources.list
roles/securitycenter.findingsStateSetter,securitycenter.findings.setState
roles/securitycenter.findingsViewer,resourcemanager.organizations.get;securitycenter.findings.group;securitycenter.findings.list;securitycenter.findings.listFindingPropertyNames;securitycenter.sources.get;securitycenter.sources.list
roles/securitycenter.notificationConfigEditor,securitycenter.notificationconfig.create;securitycenter.notificationconfig.delete;securitycenter.notificationconfig.get;securitycenter.notificationconfig.list;securitycenter.notificationconfig.update
roles/securitycenter.notificationConfigViewer,securitycenter.notificationconfig.get;securitycenter.notificationconfig.list
roles/securitycenter.serviceAgent,appengine.applications.get;appengine.instances.get;appengine.instances.list;appengine.operations.get;appengine.operations.list;appengine.services.get;appengine.services.list;appengine.versions.get;appengine.versions.list;cloudasset.assets.exportAccessLevel;cloudasset.assets.exportAccessPolicy;cloudasset.assets.exportAllAccessPolicy;cloudasset.assets.exportAppengineApplications;cloudasset.assets.exportAppengineServices;cloudasset.assets.exportAppengineVersions;cloudasset.assets.exportBigqueryDatasets;cloudasset.assets.exportBigqueryTables;cloudasset.assets.exportBigtableCluster;cloudasset.assets.exportBigtableInstance;cloudasset.assets.exportBigtableTable;cloudasset.assets.exportCloudbillingBillingAccounts;cloudasset.assets.exportCloudkmsCryptoKeyVersions;cloudasset.assets.exportCloudkmsCryptoKeys;cloudasset.assets.exportCloudkmsKeyRings;cloudasset.assets.exportCloudresourcemanagerFolders;cloudasset.assets.exportCloudresourcemanagerOrganizations;cloudasset.assets.exportCloudresourcemanagerProjects;cloudasset.assets.exportComputeAddress;cloudasset.assets.exportComputeAutoscalers;cloudasset.assets.exportComputeBackendBuckets;cloudasset.assets.exportComputeBackendServices;cloudasset.assets.exportComputeDisks;cloudasset.assets.exportComputeFirewalls;cloudasset.assets.exportComputeForwardingRules;cloudasset.assets.exportComputeGlobalAddress;cloudasset.assets.exportComputeGlobalForwardingRules;cloudasset.assets.exportComputeHealthChecks;cloudasset.assets.exportComputeHttpHealthChecks;cloudasset.assets.exportComputeHttpsHealthChecks;cloudasset.assets.exportComputeImages;cloudasset.assets.exportComputeInstanceGroupManagers;cloudasset.assets.exportComputeInstanceGroups;cloudasset.assets.exportComputeInstanceTemplates;cloudasset.assets.exportComputeInstances;cloudasset.assets.exportComputeInterconnect;cloudasset.assets.exportComputeInterconnectAttachment;cloudasset.assets.exportComputeLicenses;cloudasset.assets.exportComputeNetworks;cloudasset.assets.exportComputeProjects;cloudasset.assets.exportComputeRegionAutoscaler;cloudasset.assets.exportComputeRegionBackendServices;cloudasset.assets.exportComputeRegionDisk;cloudasset.assets.exportComputeRegionInstanceGroup;cloudasset.assets.exportComputeRegionInstanceGroupManager;cloudasset.assets.exportComputeRouters;cloudasset.assets.exportComputeRoutes;cloudasset.assets.exportComputeSecurityPolicy;cloudasset.assets.exportComputeSnapshots;cloudasset.assets.exportComputeSslCertificates;cloudasset.assets.exportComputeSubnetworks;cloudasset.assets.exportComputeTargetHttpProxies;cloudasset.assets.exportComputeTargetHttpsProxies;cloudasset.assets.exportComputeTargetInstances;cloudasset.assets.exportComputeTargetPools;cloudasset.assets.exportComputeTargetSslProxies;cloudasset.assets.exportComputeTargetTcpProxies;cloudasset.assets.exportComputeTargetVpnGateways;cloudasset.assets.exportComputeUrlMaps;cloudasset.assets.exportComputeVpnTunnels;cloudasset.assets.exportContainerClusterrole;cloudasset.assets.exportContainerClusterrolebinding;cloudasset.assets.exportContainerClusters;cloudasset.assets.exportContainerNamespace;cloudasset.assets.exportContainerNode;cloudasset.assets.exportContainerNodepool;cloudasset.assets.exportContainerPod;cloudasset.assets.exportContainerRole;cloudasset.assets.exportContainerRolebinding;cloudasset.assets.exportContainerregistryImage;cloudasset.assets.exportDatafusionInstance;cloudasset.assets.exportDataprocClusters;cloudasset.assets.exportDataprocJobs;cloudasset.assets.exportDnsManagedZones;cloudasset.assets.exportDnsPolicies;cloudasset.assets.exportIamPolicy;cloudasset.assets.exportIamRoles;cloudasset.assets.exportIamServiceAccountKeys;cloudasset.assets.exportIamServiceAccounts;cloudasset.assets.exportManagedidentitiesDomain;cloudasset.assets.exportOrgPolicy;cloudasset.assets.exportPubsubSubscriptions;cloudasset.assets.exportPubsubTopics;cloudasset.assets.exportResource;cloudasset.assets.exportServicePerimeter;cloudasset.assets.exportServicemanagementServices;cloudasset.assets.exportSpannerDatabases;cloudasset.assets.exportSpannerInstances;cloudasset.assets.exportSqladminInstances;cloudasset.assets.exportStorageBuckets;cloudasset.feeds.create;cloudasset.feeds.delete;cloudasset.feeds.get;cloudasset.feeds.list;cloudasset.feeds.update;cloudsql.instances.connect;cloudsql.instances.get;cloudsql.users.list;compute.acceleratorTypes.get;compute.acceleratorTypes.list;compute.addresses.get;compute.addresses.list;compute.autoscalers.get;compute.autoscalers.list;compute.backendBuckets.get;compute.backendBuckets.list;compute.backendServices.get;compute.backendServices.list;compute.commitments.get;compute.commitments.list;compute.diskTypes.get;compute.diskTypes.list;compute.disks.get;compute.disks.getIamPolicy;compute.disks.list;compute.externalVpnGateways.get;compute.externalVpnGateways.list;compute.firewalls.get;compute.firewalls.list;compute.forwardingRules.get;compute.forwardingRules.list;compute.globalAddresses.get;compute.globalAddresses.list;compute.globalForwardingRules.get;compute.globalForwardingRules.list;compute.globalOperations.get;compute.globalOperations.getIamPolicy;compute.globalOperations.list;compute.healthChecks.get;compute.healthChecks.list;compute.httpHealthChecks.get;compute.httpHealthChecks.list;compute.httpsHealthChecks.get;compute.httpsHealthChecks.list;compute.images.get;compute.images.getFromFamily;compute.images.getIamPolicy;compute.images.list;compute.instanceGroupManagers.get;compute.instanceGroupManagers.list;compute.instanceGroups.get;compute.instanceGroups.list;compute.instanceTemplates.get;compute.instanceTemplates.getIamPolicy;compute.instanceTemplates.list;compute.instances.get;compute.instances.getGuestAttributes;compute.instances.getIamPolicy;compute.instances.getSerialPortOutput;compute.instances.getShieldedInstanceIdentity;compute.instances.getShieldedVmIdentity;compute.instances.list;compute.instances.listReferrers;compute.interconnectAttachments.get;compute.interconnectAttachments.list;compute.interconnectLocations.get;compute.interconnectLocations.list;compute.interconnects.get;compute.interconnects.list;compute.licenseCodes.get;compute.licenseCodes.getIamPolicy;compute.licenseCodes.list;compute.licenses.get;compute.licenses.getIamPolicy;compute.licenses.list;compute.machineTypes.get;compute.machineTypes.list;compute.maintenancePolicies.get;compute.maintenancePolicies.getIamPolicy;compute.maintenancePolicies.list;compute.networkEndpointGroups.get;compute.networkEndpointGroups.getIamPolicy;compute.networkEndpointGroups.list;compute.networks.get;compute.networks.list;compute.networks.listPeeringRoutes;compute.nodeGroups.get;compute.nodeGroups.getIamPolicy;compute.nodeGroups.list;compute.nodeTemplates.get;compute.nodeTemplates.getIamPolicy;compute.nodeTemplates.list;compute.nodeTypes.get;compute.nodeTypes.list;compute.projects.get;compute.regionBackendServices.get;compute.regionBackendServices.list;compute.regionOperations.get;compute.regionOperations.getIamPolicy;compute.regionOperations.list;compute.regions.get;compute.regions.list;compute.reservations.get;compute.reservations.list;compute.resourcePolicies.get;compute.resourcePolicies.list;compute.routers.get;compute.routers.list;compute.routes.get;compute.routes.list;compute.securityPolicies.get;compute.securityPolicies.getIamPolicy;compute.securityPolicies.list;compute.snapshots.get;compute.snapshots.getIamPolicy;compute.snapshots.list;compute.sslCertificates.get;compute.sslCertificates.list;compute.sslPolicies.get;compute.sslPolicies.list;compute.sslPolicies.listAvailableFeatures;compute.subnetworks.get;compute.subnetworks.getIamPolicy;compute.subnetworks.list;compute.targetHttpProxies.get;compute.targetHttpProxies.list;compute.targetHttpsProxies.get;compute.targetHttpsProxies.list;compute.targetInstances.get;compute.targetInstances.list;compute.targetPools.get;compute.targetPools.list;compute.targetSslProxies.get;compute.targetSslProxies.list;compute.targetTcpProxies.get;compute.targetTcpProxies.list;compute.targetVpnGateways.get;compute.targetVpnGateways.list;compute.urlMaps.get;compute.urlMaps.list;compute.urlMaps.validate;compute.vpnGateways.get;compute.vpnGateways.list;compute.vpnTunnels.get;compute.vpnTunnels.list;compute.zoneOperations.get;compute.zoneOperations.getIamPolicy;compute.zoneOperations.list;compute.zones.get;compute.zones.list;container.apiServices.get;container.apiServices.list;container.backendConfigs.get;container.backendConfigs.list;container.bindings.get;container.bindings.list;container.certificateSigningRequests.get;container.certificateSigningRequests.list;container.clusterRoleBindings.get;container.clusterRoleBindings.list;container.clusterRoles.get;container.clusterRoles.list;container.clusters.get;container.clusters.list;container.componentStatuses.get;container.componentStatuses.list;container.configMaps.get;container.configMaps.list;container.controllerRevisions.get;container.controllerRevisions.list;container.cronJobs.get;container.cronJobs.getStatus;container.cronJobs.list;container.csiDrivers.get;container.csiDrivers.list;container.csiNodes.get;container.csiNodes.list;container.customResourceDefinitions.get;container.customResourceDefinitions.list;container.daemonSets.get;container.daemonSets.getStatus;container.daemonSets.list;container.deployments.get;container.deployments.getStatus;container.deployments.list;container.endpoints.get;container.endpoints.list;container.events.get;container.events.list;container.horizontalPodAutoscalers.get;container.horizontalPodAutoscalers.getStatus;container.horizontalPodAutoscalers.list;container.ingresses.get;container.ingresses.getStatus;container.ingresses.list;container.initializerConfigurations.get;container.initializerConfigurations.list;container.jobs.get;container.jobs.getStatus;container.jobs.list;container.limitRanges.get;container.limitRanges.list;container.namespaces.get;container.namespaces.getStatus;container.namespaces.list;container.networkPolicies.get;container.networkPolicies.list;container.nodes.get;container.nodes.getStatus;container.nodes.list;container.operations.get;container.operations.list;container.persistentVolumeClaims.get;container.persistentVolumeClaims.getStatus;container.persistentVolumeClaims.list;container.persistentVolumes.get;container.persistentVolumes.getStatus;container.persistentVolumes.list;container.petSets.get;container.petSets.list;container.podDisruptionBudgets.get;container.podDisruptionBudgets.getStatus;container.podDisruptionBudgets.list;container.podPresets.get;container.podPresets.list;container.podSecurityPolicies.get;container.podSecurityPolicies.list;container.podTemplates.get;container.podTemplates.list;container.pods.get;container.pods.getStatus;container.pods.list;container.replicaSets.get;container.replicaSets.getScale;container.replicaSets.getStatus;container.replicaSets.list;container.replicationControllers.get;container.replicationControllers.getScale;container.replicationControllers.getStatus;container.replicationControllers.list;container.resourceQuotas.get;container.resourceQuotas.getStatus;container.resourceQuotas.list;container.roleBindings.get;container.roleBindings.list;container.roles.get;container.roles.list;container.runtimeClasses.get;container.runtimeClasses.list;container.scheduledJobs.get;container.scheduledJobs.list;container.serviceAccounts.get;container.serviceAccounts.list;container.services.get;container.services.getStatus;container.services.list;container.statefulSets.get;container.statefulSets.getStatus;container.statefulSets.list;container.storageClasses.get;container.storageClasses.list;container.thirdPartyObjects.get;container.thirdPartyObjects.list;container.thirdPartyResources.get;container.thirdPartyResources.list;container.tokenReviews.create;dlp.jobs.get;dlp.jobs.list;logging.exclusions.get;logging.exclusions.list;logging.logEntries.list;logging.logMetrics.get;logging.logMetrics.list;logging.logServiceIndexes.list;logging.logServices.list;logging.logs.list;logging.sinks.get;logging.sinks.list;logging.usage.get;monitoring.alertPolicies.get;monitoring.alertPolicies.list;orgpolicy.policy.get;resourcemanager.folders.get;resourcemanager.folders.list;resourcemanager.organizations.get;resourcemanager.projects.get;resourcemanager.projects.getIamPolicy;resourcemanager.projects.list;securitycenter.assets.group;securitycenter.assets.list;securitycenter.assets.listAssetPropertyNames;securitycenter.assets.runDiscovery;securitycenter.assetsecuritymarks.update;securitycenter.findings.group;securitycenter.findings.list;securitycenter.findings.listFindingPropertyNames;securitycenter.findings.setState;securitycenter.findings.update;securitycenter.findingsecuritymarks.update;securitycenter.notificationconfig.create;securitycenter.notificationconfig.delete;securitycenter.notificationconfig.get;securitycenter.notificationconfig.list;securitycenter.notificationconfig.update;securitycenter.sources.get;securitycenter.sources.list;securitycenter.sources.update;serviceusage.apiKeys.get;serviceusage.apiKeys.getProjectForKey;serviceusage.apiKeys.list;serviceusage.quotas.get;serviceusage.services.get;serviceusage.services.list;storage.buckets.get;storage.buckets.getIamPolicy;storage.buckets.list
roles/securitycenter.sourcesAdmin,resourcemanager.organizations.get;securitycenter.sources.get;securitycenter.sources.getIamPolicy;securitycenter.sources.list;securitycenter.sources.setIamPolicy;securitycenter.sources.update
roles/securitycenter.sourcesEditor,resourcemanager.organizations.get;securitycenter.sources.get;securitycenter.sources.list;securitycenter.sources.update
roles/securitycenter.sourcesViewer,resourcemanager.organizations.get;securitycenter.sources.get;securitycenter.sources.list
