role,permissions
roles/automlrecommendations.adminViewer,automlrecommendations.apiKeys.list;automlrecommendations.catalogItems.get;automlrecommendations.catalogItems.list;automlrecommendations.catalogs.getStats;automlrecommendations.catalogs.list;automlrecommendations.eventStores.getStats;automlrecommendations.events.list;automlrecommendations.placements.getStats;automlrecommendations.placements.list;automlrecommendations.recommendations.list;resourcemanager.projects.get;resourcemanager.projects.list;serviceusage.services.get;serviceusage.services.list
roles/automlrecommendations.editor,automlrecommendations.apiKeys.create;automlrecommendations.apiKeys.list;automlrecommendations.catalogItems.create;automlrecommendations.catalogItems.delete;automlrecommendations.catalogItems.get;automlrecommendations.catalogItems.list;automlrecommendations.catalogItems.update;automlrecommendations.catalogs.getStats;automlrecommendations.catalogs.list;automlrecommendations.eventStores.getStats;automlrecommendations.events.create;automlrecommendations.events.list;automlrecommendations.placements.getStats;automlrecommendations.placements.list;automlrecommendations.recommendations.list;resourcemanager.projects.get;resourcemanager.projects.list;serviceusage.services.get;serviceusage.services.list
roles/automlrecommendations.viewer,automlrecommendations.catalogItems.get;automlrecommendations.catalogItems.list;automlrecommendations.catalogs.getStats;automlrecommendations.catalogs.list;automlrecommendations.eventStores.getStats;automlrecommendations.events.list;automlrecommendations.placements.getStats;automlrecommendations.placements.list;automlrecommendations.recommendations.list;resourcemanager.projects.get;resourcemanager.projects.list;serviceusage.services.get;serviceusage.services.list
roles/automl.serviceAgent,bigquery.datasets.create;bigquery.datasets.get;bigquery.jobs.create;bigquery.tables.create;bigquery.tables.export;bigquery.tables.get;bigquery.tables.getData;bigquery.tables.updateData;bigtable.tables.get;bigtable.tables.list;bigtable.tables.readRows;serviceusage.services.use;storage.buckets.get;storage.objects.create;storage.objects.delete;storage.objects.get;storage.objects.list;storage.objects.update
roles/automl.viewer,automl.annotationSpecs.get;automl.annotationSpecs.list;automl.annotations.list;automl.columnSpecs.get;automl.columnSpecs.list;automl.datasets.get;automl.datasets.list;automl.examples.get;automl.examples.list;automl.humanAnnotationTasks.get;automl.humanAnnotationTasks.list;automl.locations.get;automl.locations.list;automl.modelEvaluations.get;automl.modelEvaluations.list;automl.models.get;automl.models.list;automl.operations.get;automl.operations.list;automl.tableSpecs.get;automl.tableSpecs.list;resourcemanager.projects.get;resourcemanager.projects.list;serviceusage.services.list
roles/axt.admin,axt.labels.get;axt.labels.set;resourcemanager.organizations.get;resourcemanager.projects.get;resourcemanager.projects.list
roles/bigquery.admin,bigquery.config.get;bigquery.config.update;bigquery.connections.create;bigquery.connections.delete;bigquery.connections.get;bigquery.connections.getIamPolicy;bigquery.connections.list;bigquery.connections.setIamPolicy;bigquery.connections.update;bigquery.connections.use;bigquery.datasets.create;bigquery.datasets.delete;bigquery.datasets.get;bigquery.datasets.getIamPolicy;bigquery.datasets.setIamPolicy;bigquery.datasets.update;bigquery.datasets.updateTag;bigquery.jobs.create;bigquery.jobs.get;bigquery.jobs.list;bigquery.jobs.listAll;bigquery.jobs.update;bigquery.models.create;bigquery.models.delete;bigquery.models.getData;bigquery.models.getMetadata;bigquery.models.list;bigquery.models.updateData;bigquery.models.updateMetadata;bigquery.models.updateTag;bigquery.readsessions.create;bigquery.routines.create;bigquery.routines.delete;bigquery.routines.get;bigquery.routines.list;bigquery.routines.update;bigquery.savedqueries.create;bigquery.savedqueries.delete;bigquery.savedqueries.get;bigquery.savedqueries.list;bigquery.savedqueries.update;bigquery.tables.create;bigquery.tables.delete;bigquery.tables.export;bigquery.tables.get;bigquery.tables.getData;bigquery.tables.list;bigquery.tables.setCategory;bigquery.tables.update;bigquery.tables.updateData;bigquery.tables.updateTag;bigquery.transfers.get;bigquery.transfers.update;resourcemanager.projects.get;resourcemanager.projects.list
roles/bigquery.connectionAdmin,bigquery.connections.create;bigquery.connections.delete;bigquery.connections.get;bigquery.connections.getIamPolicy;bigquery.connections.list;bigquery.connections.setIamPolicy;bigquery.connections.update;bigquery.connections.use
roles/bigqueryconnection.serviceAgent,cloudsql.instances.connect;cloudsql.instances.get;logging.logEntries.create;monitoring.metricDescriptors.create;monitoring.metricDescriptors.get;monitoring.metricDescriptors.list;monitoring.monitoredResourceDescriptors.get;monitoring.monitoredResourceDescriptors.list;monitoring.timeSeries.create
roles/bigquery.connectionUser,bigquery.connections.get;bigquery.connections.getIamPolicy;bigquery.connections.list;bigquery.connections.use
roles/bigquery.dataEditor,bigquery.datasets.create;bigquery.datasets.get;bigquery.datasets.getIamPolicy;bigquery.datasets.updateTag;bigquery.models.create;bigquery.models.delete;bigquery.models.getData;bigquery.models.getMetadata;bigquery.models.list;bigquery.models.updateData;bigquery.models.updateMetadata;bigquery.models.updateTag;bigquery.routines.create;bigquery.routines.delete;bigquery.routines.get;bigquery.routines.list;bigquery.routines.update;bigquery.tables.create;bigquery.tables.delete;bigquery.tables.export;bigquery.tables.get;bigquery.tables.getData;bigquery.tables.list;bigquery.tables.update;bigquery.tables.updateData;bigquery.tables.updateTag;resourcemanager.projects.get;resourcemanager.projects.list
